# table	production_probe_test; UNTESTED is a failing placeholder, never coverage
macro_items	SubstanceInternalPersistenceDeviceTest#relatedSubstanceRowsPersistThroughRepository
app_state	WordPulsePersistenceDeviceTest#wordSessionCorrectionAndPvtPersistThroughRepository
correction_events	WordPulsePersistenceDeviceTest#wordSessionCorrectionAndPvtPersistThroughRepository
word_entries	WordPulsePersistenceDeviceTest#wordSessionCorrectionAndPvtPersistThroughRepository
wordpulse_sessions	WordPulsePersistenceDeviceTest#wordSessionCorrectionAndPvtPersistThroughRepository
pvt_results	WordPulsePersistenceDeviceTest#wordSessionCorrectionAndPvtPersistThroughRepository
# Immutable legacy Timer audit store; Git history superseded its writer. Probe verifies Room schema materialization/reopen.
audit_events	LegacyBackupMetadataSchemaDeviceTest#legacyBackupMetadataSchemaPersistsAcrossReopen
integrity_stats	QuickEventRelatedPersistenceDeviceTest#integrityStatsRefreshPersistsComputedValue
quick_event_entries	PersistenceUiRegressionDeviceTest#timerEventCreateEditReopenReadbackAndCleanup
quick_event_entry_field_values	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_entry_tags	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_macro_actions	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_macro_tags	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_macros	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_template_fields	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_template_tags	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
quick_event_templates	QuickEventRelatedPersistenceDeviceTest#templateFieldsEntryValuesAndMacroActionsPersist
session_tags	QuickEventRelatedPersistenceDeviceTest#timerSessionPersistsAndEditsThroughCore
sessions	QuickEventRelatedPersistenceDeviceTest#timerSessionPersistsAndEditsThroughCore
snapshot	QuickEventRelatedPersistenceDeviceTest#runtimeSnapshotPersistsThroughSnapshotStore
snapshot_history	LegacySnapshotCompactionDeviceTest#legacySnapshotCompactionPersistsHistoryAndPayload
snapshot_payloads	LegacySnapshotCompactionDeviceTest#legacySnapshotCompactionPersistsHistoryAndPayload
ui_prefs_mirror	PersistenceUiRegressionDeviceTest#databasePreferencesWriteEditReadbackAndCleanup
sync_meta	LegacyTimerSyncPersistenceDeviceTest#timerSyncQueueRefreshPersistsRevisionQueueAndShadow
sync_queue	LegacyTimerSyncPersistenceDeviceTest#timerSyncQueueRefreshPersistsRevisionQueueAndShadow
sync_shadow	LegacyTimerSyncPersistenceDeviceTest#timerSyncQueueRefreshPersistsRevisionQueueAndShadow
people_photos	PeopleRelatedPersistenceDeviceTest#croppedPhotoBlobPersistsWithContactTransaction
hub_generation	PersistenceUiRegressionDeviceTest#timerEventCreateEditReopenReadbackAndCleanup
hub_preferences	PersistenceUiRegressionDeviceTest#databasePreferencesWriteEditReadbackAndCleanup
hub_sync_pending	PersistenceUiRegressionDeviceTest#timerEventCreateEditReopenReadbackAndCleanup
hub_sync_known	SyncKnownPersistenceDeviceTest#preparedSyncIdentityPersistsIdempotently
hub_entity_bindings	HubContextPersistenceDeviceTest#contextTypeBindingsAndMembersPersistThroughRepository
hub_context_types	HubContextPersistenceDeviceTest#contextTypeBindingsAndMembersPersistThroughRepository
hub_context_type_fields	HubContextPersistenceDeviceTest#contextTypeBindingsAndMembersPersistThroughRepository
hub_contexts	HubContextPersistenceDeviceTest#contextTypeBindingsAndMembersPersistThroughRepository
hub_context_members	HubContextPersistenceDeviceTest#contextTypeBindingsAndMembersPersistThroughRepository
hub_tags	SharedTagsPersistenceDeviceTest#sharedDefinitionsAliasesAssignmentsHierarchyAndFiltersPersist
hub_tag_aliases	SharedTagsPersistenceDeviceTest#sharedDefinitionsAliasesAssignmentsHierarchyAndFiltersPersist
hub_tag_assignments	SharedTagsPersistenceDeviceTest#sharedDefinitionsAliasesAssignmentsHierarchyAndFiltersPersist
hub_tag_parents	SharedTagsPersistenceDeviceTest#sharedDefinitionsAliasesAssignmentsHierarchyAndFiltersPersist
hub_saved_tag_filters	SharedTagsPersistenceDeviceTest#sharedDefinitionsAliasesAssignmentsHierarchyAndFiltersPersist
hub_resources	HubContextPersistenceDeviceTest#resourcePersistsThroughHubAdapter
hub_activity_log	PersistenceUiRegressionDeviceTest#peopleCreateEditReopenReadbackAndCleanup
hub_activity_undo_context	UndoContextPersistenceDeviceTest#undoContextLinksCompensatingActivityAndClearsTransientRow
